I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
14, 24, 9, -19, 2, 17, -29, -78, -117, -78, -29, 4, 
24, 48, 24, -36, 0, 36, -43, -82, -126, -78, -24, 9, 
29, 63, 34, -46, -2, 48, -43, -92, -126, -78, -19, 19, 
29, 63, 34, -46, -2, 48, -48, -97, -126, -78, -14, 24, 
29, 63, 34, -46, -2, 48, -48, -97, -136, -73, -14, 24, 
14, 58, 43, -36, -14, 51, -48, -112, -141, -73, -14, 24, 
9, 63, 53, -36, -21, 58, -48, -112, -141, -78, -14, 24, 
14, 68, 53, -41, -19, 61, -48, -112, -141, -78, -14, 24, 
9, 73, 63, -41, -26, 68, -48, -117, -141, -78, -14, 29, 
4, 78, 73, -41, -34, 75, -43, -112, -136, -68, -4, 48, 
0, 82, 82, -41, -41, 82, -43, -107, -131, -58, 0, 53, 
0, 97, 97, -48, -48, 97, -39, -102, -117, -53, 9, 58, 
4, 97, 92, -51, -43, 95, -34, -97, -112, -53, 19, 58, 
9, 97, 87, -53, -39, 92, -39, -102, -122, -63, 9, 53, 
14, 87, 73, -51, -29, 80, -43, -102, -122, -68, 9, 48, 
19, 82, 63, -51, -21, 73, -43, -102, -122, -68, 9, 43, 
14, 68, 53, -41, -19, 61, -43, -102, -112, -63, 9, 29, 
9, 58, 48, -34, -19, 53, -29, -87, -112, -63, 4, 39, 
9, 48, 39, -29, -14, 43, -29, -87, -112, -63, -9, 29, 
9, 34, 24, -21, -7, 29, -34, -92, -112, -73, -14, 24, 
0, 24, 24, -12, -12, 24, -34, -92, -122, -78, -24, 19, 
-9, 14, 24, -2, -17, 19, -24, -82, -136, -82, -34, 9, 
